ticker,quantity,avg_price,asset_class
AAPL,7.172214,240.45,Equity
ASML,0.60095477,1031.51,Equity
GOOG,3.32795389,290.07,Equity
IBKR,3.97126121,64.64,Equity
NVDA,3.03236064,194.63,Equity
UNH,1.58561611,314.38,Equity
VOO,2.39801197,578.89,ETF
